"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Affiliations","Authors with affiliations","Abstract","Author Keywords","Index Keywords","Correspondence Address","Editors","Publisher","ISSN","ISBN","CODEN","PubMed ID","Language of Original Document","Abbreviated Source Title","Document Type","Publication Stage","Open Access","Source","EID"
"Shuval K.; Shachak A.; Linn S.; Brezis M.; Reis S.","Shuval, Kerem (8215146800); Shachak, Aviv (16551033900); Linn, Shai (7102590173); Brezis, Mayer (7005154830); Reis, Shmuel (7102060111)","8215146800; 16551033900; 7102590173; 7005154830; 7102060111","Evaluating primary care doctors' evidence-based medicine skills in a busy clinical setting","2007","Journal of Evaluation in Clinical Practice","13","4","","576","580","28","10.1111/j.1365-2753.2007.00805.x","https://www.scopus.com/pages/publications/34547777910?origin=resultslist","School of Public Health, University of Haifa, Haifa, Israel; Galil Center for Medical Informatics and Telemedicine, Haifa, Israel; R and B Rappaport Faculty of Medicine, Technion- Israel Institute of Technology, Haifa, Israel; Quality and Safety Committee, Hadassah University Hospital, Jerusalem, Israel; School of Public Health, Faculty of Medicine, Hebrew University of Jerusalem, Jerusalem, Israel; Department of Medical Education, R and B Rappaport Faculty of Medicine, Technion- Israel Institute of Technology, Haifa, Israel; School of Public Health, University of Haifa, Mount Carmel Haifa, 31905, Israel","Shuval K., School of Public Health, University of Haifa, Haifa, Israel, School of Public Health, University of Haifa, Mount Carmel Haifa, 31905, Israel; Shachak A., Galil Center for Medical Informatics and Telemedicine, Haifa, Israel, R and B Rappaport Faculty of Medicine, Technion- Israel Institute of Technology, Haifa, Israel; Linn S., School of Public Health, University of Haifa, Haifa, Israel; Brezis M., Quality and Safety Committee, Hadassah University Hospital, Jerusalem, Israel, School of Public Health, Faculty of Medicine, Hebrew University of Jerusalem, Jerusalem, Israel; Reis S., Department of Medical Education, R and B Rappaport Faculty of Medicine, Technion- Israel Institute of Technology, Haifa, Israel","Rationale, aims and objectives: To date, primary care doctors' (PCDs) evidence-based medicine (EBM) skills have rarely been studied. We conducted a cross-sectional study to evaluate PCDs' practical EBM skills and to determine risk markers associated with these skills. Methods: The study sample consisted of 70 PCDs (70.7% response rate) practising in a busy urban setting from a large health maintenance organization. Participants were given a short validated questionnaire gauging attitudes, barriers, online medical resources utilization, as well as demographic and personal characteristics. Additionally, doctors completed an online and written exam evaluating their ability to formulate clinical questions, and retrieve medical information efficiently. Data analysis was performed using both bivariate and multivariate analysis (linear regression). Results: PCDs found it difficult to formulate clinical questions both in the written and online exam, mostly neglecting to mention the Patient and Comparison components of PICO (patient, intervention, comparison and outcome). Search strategies primarily dispensed with the use of MeSH terms, ignoring appropriate limits. Doctors final scores were low (score = 41.5/100, SD = 16.2). In bivariate analysis clinical experience was negatively correlated with the final score (r = -0.36, P = 0.01), and specialists' scores were significantly higher than general practitioners' scores (46.7/100 and 31.5/100 respectively, P < 0.001). In multivariate analysis, doctors specialization was the only statistically significant predictor of the final score (B = 12.74, P = 0.002), while controlling for participating in a prior EBM course. Conclusions: This study emphasizes the need for enhancing PCDs practical EBM skills. Future research and interventions should focus on this population emphasizing the specific needs of subpopulations (i.e. general practitioners and doctors without previous EBM training). © 2007 The Authors.","Continuing medical education; Cross-sectional analytical study; Evaluation; Evidence-based medicine; Information retrieval; Primary care","Clinical Competence; Cross-Sectional Studies; Demography; Evidence-Based Medicine; Female; Health Knowledge, Attitudes, Practice; Health Maintenance Organizations; Humans; Male; Middle Aged; Physicians, Family; Urban Population; adult; article; bivariate analysis; clinical practice; cross-sectional study; demography; evidence based medicine; female; health maintenance organization; human; information retrieval; male; medical information; medical profession; multivariate analysis; physician; primary medical care; priority journal; professional competence; questionnaire; skill; statistical significance","K. Shuval; School of Public Health, University of Haifa, Mount Carmel Haifa, 31905, Israel; email: kshuval@study.haifa.ac.il","","","13652753","","JECPF","17683299","English","J. Eval. Clin. Pract.","Article","Final","","Scopus","2-s2.0-34547777910"
"Abernethy A.P.; Herndon II J.E.; Wheeler J.L.; Day J.M.; Hood L.; Patwardhan M.; Shaw H.; Lyerly H.K.","Abernethy, Amy P. (6701718963); Herndon II, James E. (35377591200); Wheeler, Jane L. (23494040800); Day, Jeannette M. (24536915800); Hood, Linda (7201601973); Patwardhan, Meenal (6603715616); Shaw, Heather (7202878386); Lyerly, Herbert Kim (7004974306)","6701718963; 35377591200; 23494040800; 24536915800; 7201601973; 6603715616; 7202878386; 7004974306","Feasibility and Acceptability to Patients of a Longitudinal System for Evaluating Cancer-Related Symptoms and Quality of Life: Pilot Study of an e/Tablet Data-Collection System in Academic Oncology","2009","Journal of Pain and Symptom Management","37","6","","1027","1038","125","10.1016/j.jpainsymman.2008.07.011","https://www.scopus.com/pages/publications/66149095099?origin=resultslist","Division of Medical Oncology, Duke University Medical Center, Durham, NC, United States; Center for Clinical Health Policy Research, Department of Medicine, Duke University Medical Center, Durham, NC, United States; Duke Comprehensive Cancer Center, Duke University Medical Center, Durham, NC, United States; Department of Biostatistics, Duke University Medical Center, Durham, NC, United States; Department of Surgery, Duke University Medical Center, Durham, NC, United States","Abernethy A.P., Division of Medical Oncology, Duke University Medical Center, Durham, NC, United States, Center for Clinical Health Policy Research, Department of Medicine, Duke University Medical Center, Durham, NC, United States, Duke Comprehensive Cancer Center, Duke University Medical Center, Durham, NC, United States; Herndon II J.E., Department of Biostatistics, Duke University Medical Center, Durham, NC, United States; Wheeler J.L., Division of Medical Oncology, Duke University Medical Center, Durham, NC, United States; Day J.M., Department of Biostatistics, Duke University Medical Center, Durham, NC, United States; Hood L., Division of Medical Oncology, Duke University Medical Center, Durham, NC, United States; Patwardhan M., Center for Clinical Health Policy Research, Department of Medicine, Duke University Medical Center, Durham, NC, United States; Shaw H., Division of Medical Oncology, Duke University Medical Center, Durham, NC, United States, Duke Comprehensive Cancer Center, Duke University Medical Center, Durham, NC, United States; Lyerly H.K., Duke Comprehensive Cancer Center, Duke University Medical Center, Durham, NC, United States, Department of Surgery, Duke University Medical Center, Durham, NC, United States","Programmed, notebook-style, personal computers (""e/Tablets"") can collect symptom and quality-of-life (QOL) data at the point of care. Patients use an e/Tablet in the clinic waiting area to complete electronic surveys. Information then travels wirelessly to a server, which generates a real-time report for use during the clinical visit. The objective of this study was to determine whether academic oncology patients find e/Tablets logistically acceptable and a satisfactory means of communicating symptoms to providers during repeated clinic visits. Sixty-six metastatic breast cancer patients at Duke Breast Cancer Clinic participated. E/Tablets were customized to electronically administer a satisfaction/acceptability survey, several validated questionnaires, and the Patient Care Monitor (PCM) review of symptoms survey. At each of the four visits within six months, participants completed the patient satisfaction/acceptability survey, which furnished data for the current analysis. Participant demographics were: mean age of 54 years, 77% Caucasian, and 47% with less than a college education. Participants reported that e/Tablets were easy to read (94%), easy to navigate (99%), and had a comfortable weight (90%); they found it easy to respond to questions using the e/Tablet (98%). Seventy-five percent initially indicated satisfaction with PCM for reporting symptoms; this proportion increased over time. By the last visit, 88% of participants indicated that they would recommend the PCM to other patients; 74% felt that the e/Tablet helped them remember symptoms to report to their clinician. E/Tablets offered a feasible and acceptable method for collecting longitudinal patient-reported symptom and QOL data within an academic, tertiary care, breast cancer clinic. © 2009 U.S. Cancer Pain Relief Committee.","data collection (MeSH); information systems (MeSH); Neoplasms (MeSH); Patient Care Monitor; quality of life (MeSH)","Adult; Aged; Data Collection; Feasibility Studies; Female; Humans; Male; Microcomputers; Middle Aged; Neoplasms; Patient Satisfaction; Patients; Pilot Projects; Quality of Life; Socioeconomic Factors; adult; aged; article; breast cancer; cancer center; cancer patient; Caucasian; clinical evaluation; demography; educational status; female; health survey; human; information processing; longitudinal study; major clinical study; neoplasm; oncology; outpatient department; patient care; patient satisfaction; pilot study; point of care testing; quality of life; questionnaire; symptom; tertiary health care","A.P. Abernethy; Division of Medical Oncology, Duke University Medical Center, Durham, NC, United States; email: amy.abernethy@duke.edu","","","08853924","","JPSME","19394793","English","J. Pain Symptom Manage.","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-66149095099"
"Shi F.; Dong X.-H.","Shi, Fei (57202827012); Dong, Xiang-Huai (26422865900)","57202827012; 26422865900","Numerical study of resin transfer molding (RTM) curing process","2010","Frontiers of Materials Science in China","4","2","","217","224","2","10.1007/s11706-010-0028-x","https://www.scopus.com/pages/publications/77953082781?origin=resultslist","Department of Plasticity Technology, Shanghai Jiao Tong University, Shanghai 200030, China","Shi F., Department of Plasticity Technology, Shanghai Jiao Tong University, Shanghai 200030, China; Dong X.-H., Department of Plasticity Technology, Shanghai Jiao Tong University, Shanghai 200030, China","It is a very important phase in resin transfer molding (RTM) process that resin is cured. The result of the curing process determines the quality of a part, including mechanical properties, lifecycle of the part under high temperature and chemical properties. Therefore, it is very meaningful to discuss the curing process. In our work, the code is prepared based on unstructured mesh using divergence theorem. A case is used to verify properness of the code and the results are in good agreement with the published experiment data. In the paper, some factors of materials and numerical calculation, e. g., time step, reaction heat, the whole heat conductivity of fiber and resin and fiber initial temperature, which affect result of simulation, are emphatically investigated and carefully revealed. The conclusion shows that time step, the reaction heat and heat conductivity have an important effect on the curing process, while fiber initial temperature has very little impact. These are helpful to understand and adopt the curing process in order to produce good products. © 2010 Higher Education Press and Springer-Verlag Berlin Heidelberg.","Cure; Finite volume; Resin transfer molding (RTM); Simulation; Unstructured mesh","","X.-H. Dong; Department of Plasticity Technology, Shanghai Jiao Tong University, Shanghai 200030, China; email: dongxh@sjtu.edu.cn","","","16737482","","","","English","Front. Mater. Sci. China","Article","Final","","Scopus","2-s2.0-77953082781"
"Alvarez M.P.; Agra Y.","Alvarez, Marta Pelayo (55663694400); Agra, Yolanda (25722488800)","55663694400; 25722488800","Systematic review of educational interventions in palliative care for primary care physicians","2006","Palliative Medicine","20","7","","673","683","50","10.1177/0269216306071794","https://www.scopus.com/pages/publications/33751220504?origin=resultslist","Primary Health Care Centre, Algemesí, Valencia, Spain; Quality Agency of the National Health Service, Ministry of Health and Consumer Affairs, Madrid, Spain; 46220 Picassent, Valencia, Urbanización Sierramar 104, Spain","Alvarez M.P., Primary Health Care Centre, Algemesí, Valencia, Spain, 46220 Picassent, Valencia, Urbanización Sierramar 104, Spain; Agra Y., Quality Agency of the National Health Service, Ministry of Health and Consumer Affairs, Madrid, Spain","Background: A literature review of educational interventions in palliative care (PC) for primary care physicians (PCP) was performed, to evaluate its impact in changing professional practice. Methods: Studies undertaking any educational intervention in PC by PCP, published between 1966 and February 2005, identified through Medline, EMBASE, Cochrane Database of Systematic Reviews and Clinical Trials, Educational Resources Information Centre, Research and Development Resource Base in Continuing Medical Education, Spanish Medical Index, using a combined text word and MESH heading search strategy. Results: Eighteen articles were included with 1653 physicians. Educative methods were: role model training, small group discussions, and distribution of guidelines. Quality of the studies was low. Opioids prescription improved in two studies. Discrepancies were shown between the perception of PCP in symptom management, determined through questionnaires, and the data concerning opioids prescription. Knowledge improved in all studies. Some benefit of multifaceted approach was stated. Carers were satisfied, in general, with the PCP care, but dissatisfied with patients' pain control. Conclusion: PC education for PCP is poorly studied. Adequate research designs are necessary in future studies with objective outcomes and patient opinion. © 2006 Sage Publications.","Education; Family; Palliative care; Physicians; Primary health care; Terminal care","Delivery of Health Care; Education, Medical, Continuing; Family Practice; Humans; Palliative Care; Spain; fentanyl; morphine; opiate; analgesia; article; bibliographic database; caregiver; Cochrane Library; doctor patient relation; EMBASE; functional assessment; human; interpersonal communication; learning; medical education; medical literature; medical practice; medical specialist; MEDLINE; outcomes research; pain; palliative therapy; physician attitude; practice guideline; prescription; primary medical care; qualitative analysis; quality of life; questionnaire; satisfaction; student satisfaction; systematic review; treatment planning","M.P. Alvarez; 46220 Picassent, Valencia, Urbanización Sierramar 104, Spain; email: mpalva@terra.es","","SAGE Publications Ltd","02692163","","PAMDE","17060266","English","Palliative Med.","Article","Final","","Scopus","2-s2.0-33751220504"
"Martin B.K.; Rada R.","Martin, Brian K. (7402932293); Rada, Roy (7006300777)","7402932293; 7006300777","Building a relational database for a physician document index","1987","Informatics for Health and Social Care","12","3","","187","201","10","10.3109/14639238709044553","https://www.scopus.com/pages/publications/84907107268?origin=resultslist","School of Medicine, University of Hawaii, Honolulu, HI, 96816, United States; National Library of Medicine, Bethesda, MD, 20894, United States","Martin B.K., School of Medicine, University of Hawaii, Honolulu, HI, 96816, United States; Rada R., National Library of Medicine, Bethesda, MD, 20894, United States","We show how three existing medical knowledge bases: Medical Subject Headings (MeSH), Standardized Nomenclature of Medicine (SNOMED) and Current Medical Information and Technology (CMIT) are mapped into a relational data model and stored on an Apollo workstation and an Intelligent Database Machine. Since two of these knowledge bases have been used in the indexing of medical literature and patient records, they can be useful not only as direct views on the organization of medical concepts but also as tools for the retrieval of documents. In order that the concepts from one knowledge base can be connected to those of the other knowledge base, a method has been developed for the semi-automatic merging of MeSH, SNOMED and CMIT. This method takes advantage of the relational model and the synonyms that are given in SNOMED and CMIT, in order to recommend concepts to be merged. An expert interacts with the system to accept or reject the recommendations of the computer. The method would apply equally well to other knowledge bases and is particularly well-suited for knowledge bases that contain tens of thousands of concepts. © 1987 Informa UK Ltd All rights reserved: reproduction in whole or part not permitted.","Hardware-software issues; Knowledge refinement; Medical knowledge bases; Relational database management systems","computer; computer analysis; computer program; data base; education; human; management system; medical documentation; organization and management","","","Informa Healthcare","17538157","","","3683010","English","Informatics Health Soc. Care","Article","Final","","Scopus","2-s2.0-84907107268"
"Sadler G.R.; Gonzalez J.; Mumman M.; Cullen L.; LaHousse S.F.; Malcarne V.; Conde V.; Riley N.","Sadler, Georgia Robins (7005152183); Gonzalez, Jenny (55450690800); Mumman, Manpreet (35368958100); Cullen, Lisa (35368284100); LaHousse, Sheila F. (48460903500); Malcarne, Vanessa (6701495867); Conde, Viridiana (35368147100); Riley, Natasha (35369423600)","7005152183; 55450690800; 35368958100; 35368284100; 48460903500; 6701495867; 35368147100; 35369423600","Adapting a program to inform African American and hispanic American women about cancer clinical trials","2010","Journal of Cancer Education","25","2","","142","145","23","10.1007/s13187-009-0032-y","https://www.scopus.com/pages/publications/77956643377?origin=resultslist","Moores UCSD Cancer Center, La Jolla CA, United States; UCSD School of Medicine, Moores UCSD Cancer Center 0850, La Jolla CA 92093-0850, 3855 Health Sciences Drive, United States; Department of Psychology, San Diego State University, San Diego CA, United States; SDSU/UCSD Joint Doctoral Program in Clinical Psychology, San Diego CA, United States; Vista Community Clinic, Vista, CA, United States; Department of Psychology, Michigan State University, East Lansing MI, United States","Sadler G.R., Moores UCSD Cancer Center, La Jolla CA, United States, UCSD School of Medicine, Moores UCSD Cancer Center 0850, La Jolla CA 92093-0850, 3855 Health Sciences Drive, United States, SDSU/UCSD Joint Doctoral Program in Clinical Psychology, San Diego CA, United States; Gonzalez J., Moores UCSD Cancer Center, La Jolla CA, United States; Mumman M., Moores UCSD Cancer Center, La Jolla CA, United States; Cullen L., Moores UCSD Cancer Center, La Jolla CA, United States; LaHousse S.F., Moores UCSD Cancer Center, La Jolla CA, United States, Department of Psychology, Michigan State University, East Lansing MI, United States; Malcarne V., Moores UCSD Cancer Center, La Jolla CA, United States, Department of Psychology, San Diego State University, San Diego CA, United States, SDSU/UCSD Joint Doctoral Program in Clinical Psychology, San Diego CA, United States; Conde V., Vista Community Clinic, Vista, CA, United States; Riley N., Vista Community Clinic, Vista, CA, United States","The dearth of evidence-based clinical trial education programs may contribute to the underrepresentation of African American and Hispanic American women in cancer research studies. This study used focus group-derived data from80women distributed among eight Spanish- and Englishlanguage focus groups. These data guided the researchers' adaptation and refinement of the National Cancer Institute's various clinical trials education programs into a program that was specifically focused on meeting the information needs of minority women and addressing the barriers to study participation that they perceived. A ""sisterhood"" theme was adopted and woven throughout the presentation. © The Author(s) 2010.","African American; Breast cancer; Clinical trials; Disparities; Focus groups; Hispanic American; Latinas; MeSH; Recruitment","African Americans; Breast Neoplasms; Clinical Trials as Topic; Consumer Health Information; Cultural Competency; Female; Focus Groups; Hispanic Americans; Humans; Minority Health; Patient Selection; Women's Health; African American; article; breast tumor; clinical trial; consumer health information; cultural competence; ethnology; female; Hispanic; human; information processing; minority health; patient selection; women's health","G. R. Sadler; UCSD School of Medicine, Moores UCSD Cancer Center 0850, La Jolla CA 92093-0850, 3855 Health Sciences Drive, United States; email: gsadler@ucsd.edu","","","15430154","","JCEDE","20146043","English","J. Cancer Educ.","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-77956643377"
"Dinehart D.W.; Grossss S.P.","Dinehart, David W. (6601972373); Grossss, Shawn P. (36172383000)","6601972373; 36172383000","A service learning structural engineering capstone course and the assessment of technical and non-technical objectives","2010","Advances in Engineering Education","2","1","","1","19","18","","https://www.scopus.com/pages/publications/77954627673?origin=resultslist","Department of Civil and Environmental Engineering, Villanova University, United States","Dinehart D.W., Department of Civil and Environmental Engineering, Villanova University, United States; Grossss S.P., Department of Civil and Environmental Engineering, Villanova University, United States","The primary role of a civil engineer is to serve the community; thus, it is essential that students understand the impact of engineering projects on, and the context of engineering projects within, society. One goal of an engineering capstone design course should be to mesh the technical knowledge of the discipline with an encompassing engineering problem that incorporates ""real world"" issues and challenges. With all of the aforementioned criteria in mind, the objective of Villanova University's structural capstone course described herein is to integrate technical and non-technical issues through a challenging real world project. This paper presents the development, implementation, objectives, and assessment of a structural engineering capstone course that incorporates an international service project. All data indicates that the students participating on the service trip achieve significantly higher non-technical outcomes compared to those students that work solely on the design project.","Assessment; Capstone; Learning objectives; Service learning; Structural engineering","Curricula; Engineering; Knowledge engineering; Structural design; Students; Capstone course; Capstone design course; Civil engineers; Design projects; Engineering problems; Engineering project; International services; Issues and challenges; Learning objectives; Real world projects; Service learning; Structural engineering; Engineering education","","","","19411766","","","","English","Adv. Eng. Educ.","Article","Final","","Scopus","2-s2.0-77954627673"
"Lowe H.J.; Barnett G.O.","Lowe, Henry J. (7102871976); Barnett, G. Octo (7103006835)","7102871976; 7103006835","Understanding and using the medical subject headings (MeSH) vocabulary to perform literature searches","1994","JAMA","271","14","","1103","1108","392","10.1001/jama.271.14.1103","https://www.scopus.com/pages/publications/0028230073?origin=resultslist","Laboratory of Computer Science, Massachusetts General Hospital, Harvard Medical School, Boston, MA, United States; Section of Medical Informatics, Department of Medicine, Univ. of Pittsburgh Sch. of Medicine; Section of Medical Informatics, Univ. of Pittsburgh Sch. of Medicine, B50A Lothrop Hall, Pittsburgh, PA 15261, United States","Lowe H.J., Laboratory of Computer Science, Massachusetts General Hospital, Harvard Medical School, Boston, MA, United States, Section of Medical Informatics, Department of Medicine, Univ. of Pittsburgh Sch. of Medicine, Section of Medical Informatics, Univ. of Pittsburgh Sch. of Medicine, B50A Lothrop Hall, Pittsburgh, PA 15261, United States; Barnett G.O., Laboratory of Computer Science, Massachusetts General Hospital, Harvard Medical School, Boston, MA, United States","The United States National Library of Medicine's (NLM) MEDLINE database is the largest and most widely used medical bibliographic database. MEDLINE is manually indexed with NLM's Medical Subject Headings (MeSH) vocabulary. Using MeSH, a searcher can potentially create powerful and unambiguous MEDLINE queries. This article reviews the structure and use of MeSH, directed toward the nonexpert, and outlines how MeSH may help resolve a number of common difficulties encountered when searching MEDLINE. The increasing importance of the MEDLINE database as an information resource and the trend toward individuals performing their own bibliographic searches makes it crucial that health care professionals become familiar with MeSH.","","article; data base; education; health care personnel; language; medical literature; medical research; priority journal; publication","","","American Medical Association","00987484","","JAMAA","8151853","English","J. AM. MED. ASSOC.","Article","Final","","Scopus","2-s2.0-0028230073"
"Backer E.L.; Lebsack J.A.; Van Tonder R.J.N.; Crabtree B.F.","Backer, E.L. (7003410158); Lebsack, J.A. (6505871100); Van Tonder, R.J.N. (55904100200); Crabtree, B.F. (7006733030)","7003410158; 6505871100; 55904100200; 7006733030","The value of pharmaceutical representative visits and medication samples in community-based family practices","2000","Journal of Family Practice","49","9","","811","816","47","","https://www.scopus.com/pages/publications/0033772053?origin=resultslist","Department of Family Medicine, 983075 Univ. of Nebraska Med. Ctr., Omaha, NE 68198-3075, United States","Backer E.L., Department of Family Medicine, 983075 Univ. of Nebraska Med. Ctr., Omaha, NE 68198-3075, United States; Lebsack J.A., Department of Family Medicine, 983075 Univ. of Nebraska Med. Ctr., Omaha, NE 68198-3075, United States; Van Tonder R.J.N., Department of Family Medicine, 983075 Univ. of Nebraska Med. Ctr., Omaha, NE 68198-3075, United States; Crabtree B.F., Department of Family Medicine, 983075 Univ. of Nebraska Med. Ctr., Omaha, NE 68198-3075, United States","BACKGROUND: Interactions between the pharmaceutical industry and physicians have been discussed in numerous publications; however, most articles are limited to surveys and self-report data and often focus on academic or training contexts. We describe the role of pharmaceutical representatives and the use of samples in community-based family practices, using data obtained by directly observing clinical encounters. METHODS: We collected detailed descriptive field notes of the direct observations of 53 primary care clinicians and 1588 patient encounters in 18 purposefully selected Nebraska family practices. We used a comparative case study design, that used depth interviews of clinicians and office staff, and included details of the interactions with pharmaceutical representatives and the use of samples in clinical encounters. RESULTS: Individual providers and practices displayed noticeable variation in their approaches to drug representatives and samples. We found formal strategies and policies in a minority of practices. Generally there was little structure in the organization and distribution of sample medications at the office level, and detailed patient education regarding these drags was rarely observed in patient encounters. Nevertheless, samples were used in almost 20% of observed encounters, at times as starter dosages, but often as complete courses of treatment. The benefits derived from contact with the pharmaceutical industry varied substantially, but most often included free medication samples, meals, and patient education materials. CONCLUSIONS: Clinicians have a complex symbiosis with the pharmaceutical industry and need to critically evaluate their handling of samples and their contact with pharmaceutical representatives to optimize this relationship and ensure quality patient care. Clinics with specific policies for interactions with drug companies appear to derive more satisfaction from their encounters.","Medication samples [non-MESH]; Pharmaceutical representatives [non-MESH]; Role","Drug Industry; Drug Storage; Family Practice; Human; Interprofessional Relations; Marketing of Health Services; Nebraska; Observation; Office Visits; Patient Education; Pharmaceutical Preparations; Practice Management, Medical; Support, U.S. Gov't, P.H.S.; analgesic agent; antiasthmatic agent; antidepressant agent; antidiabetic agent; antihypertensive agent; antiinfective agent; antilipemic agent; antitussive agent; anxiolytic agent; dermatological agent; gastrointestinal agent; oral contraceptive agent; article; community care; drug industry; general practice; health care policy; medical research; patient education; prescription; prevalence; United States","E.L. Backer; Department of Family Medicine, 983075 Univ. of Nebraska Med. Ctr., Omaha, NE 68198-3075, United States; email: ebacker@unmc.edu","","","00943509","","JFAPD","11032205","English","J. Fam. Pract.","Article","Final","","Scopus","2-s2.0-0033772053"
"Weiss H.A.; Larke N.; Halperin D.; Schenker I.","Weiss, Helen A (7403112967); Larke, Natasha (8786354000); Halperin, Daniel (18834977400); Schenker, Inon (23989710300)","7403112967; 8786354000; 18834977400; 23989710300","Complications of circumcision in male neonates, infants and children: A systematic review","2010","BMC Urology","10","","2","","","306","10.1186/1471-2490-10-2","https://www.scopus.com/pages/publications/77949415453?origin=resultslist","MRC Tropical Epidemiology Group, Department of Epidemiology and Population Health, London School of Hygiene and Tropical Medicine, London WC1E 7HT, Keppel Street, United Kingdom; Dept of Global Health and Population, Harvard School of Public Health, Boston, MA, 665 Huntington St, United States; Jerusalem AIDS Project, Jerusalem 91072, 4 Eliezer Hagadol Street, Israel","Weiss H.A., MRC Tropical Epidemiology Group, Department of Epidemiology and Population Health, London School of Hygiene and Tropical Medicine, London WC1E 7HT, Keppel Street, United Kingdom; Larke N., MRC Tropical Epidemiology Group, Department of Epidemiology and Population Health, London School of Hygiene and Tropical Medicine, London WC1E 7HT, Keppel Street, United Kingdom; Halperin D., Dept of Global Health and Population, Harvard School of Public Health, Boston, MA, 665 Huntington St, United States; Schenker I., Jerusalem AIDS Project, Jerusalem 91072, 4 Eliezer Hagadol Street, Israel","Background. Approximately one in three men are circumcised globally, but there are relatively few data on the safety of the procedure. The aim of this paper is to summarize the literature on frequency of adverse events following pediatric circumcision, with a focus on developing countries. Methods. PubMed and other databasess were searched with keywords and MeSH terms including infant/newborn/pediatric/child, circumcision, complications and adverse events. Searches included all available years and were conducted on November 6 th 2007 and updated on February 14th 2009. Additional searches of the Arabic literature included searches of relevant databases and University libraries for research theses on male circumcision. Studies were included if they contained data to estimate frequency of adverse events following neonatal, infant and child circumcision. There was no language restriction. A total of 1349 published papers were identified, of which 52 studies from 21 countries met the inclusion criteria. The Arabic literature searches identified 46 potentially relevant papers, of which six were included. Results. Sixteen prospective studies evaluated complications following neonatal and infant circumcision. Most studies reported no severe adverse events (SAE), but two studies reported SAE frequency of 2%. The median frequency of any complication was 1.5% (range 0-16%). Child circumcision by medical providers tended to be associated with more complications (median frequency 6%; range 2-14%) than for neonates and infants. Traditional circumcision as a rite of passage is associated with substantially greater risks, more severe complications than medical circumcision or traditional circumcision among neonates. Conclusions. Studies report few severe complications following circumcision. However, mild or moderate complications are seen, especially when circumcision is undertaken at older ages, by inexperienced providers or in non-sterile conditions. Pediatric circumcision will continue to be practiced for cultural, medical and as a long-term HIV/STI prevention strategy. Risk-reduction strategies including improved training of providers, and provision of appropriate sterile equipment, are urgently needed. © 2010 Weiss et al; licensee BioMed Central Ltd.","","Child, Preschool; Circumcision, Male; Humans; Incidence; Infant, Newborn; Male; Postoperative Complications; Risk Assessment; Risk Factors; antibiotic agent; age distribution; article; bibliographic database; bleeding; child; circumcision; clinical trial; Cochrane Library; cultural anthropology; developing country; disease severity; edema; forceps; hematoma; human; Human immunodeficiency virus infection; infant; infection; inflammation; instrument sterilization; meatal ulcer; medical education; MEDLINE; MeSH heading; mucosa inflammation; nurse; penis amputation; penis disease; penis glans; penis infection; phimosis; postoperative complication; postoperative hemorrhage; prepuce; prospective study; religion; reoperation; risk reduction; sexually transmitted disease; skin cyst; skin infection; skin ulcer; suturing method; swelling; systematic review; tetanus; traditional medicine; training; urethra fistula; urethra stenosis; urethritis; urinary tract infection; wound infection; incidence; male; meta analysis; newborn; postoperative complication; preschool child; review; risk assessment; risk factor; utilization review","H. A. Weiss; MRC Tropical Epidemiology Group, Department of Epidemiology and Population Health, London School of Hygiene and Tropical Medicine, London WC1E 7HT, Keppel Street, United Kingdom; email: helen.weiss@lshtm.ac.uk","","","14712490","","","20158883","English","BMC Urol.","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-77949415453"
